Episode: 1/10000, Total Frames: 357, Tiles Visited: 12, Total Rewards: -142.0000000000009, Epsilon: 0.99, Policy: SAFE
Episode: 20/10000, Total Frames: 362, Tiles Visited: 3, Total Rewards: -143.0000000000009, Epsilon: 0.83, Policy: RISK
Episode: 21/10000, Total Frames: 340, Tiles Visited: 12, Total Rewards: -135.10000000000082, Epsilon: 0.83, Policy: SAFE
Episode: 22/10000, Total Frames: 356, Tiles Visited: 3, Total Rewards: -141.5000000000009, Epsilon: 0.82, Policy: RISK
Episode: 23/10000, Total Frames: 363, Tiles Visited: 12, Total Rewards: -144.00000000000094, Epsilon: 0.81, Policy: SAFE
Episode: 24/10000, Total Frames: 454, Tiles Visited: 3, Total Rewards: -180.30000000000146, Epsilon: 0.8, Policy: RISK
Episode: 25/10000, Total Frames: 302, Tiles Visited: 12, Total Rewards: -120.10000000000062, Epsilon: 0.8, Policy: SAFE
Episode: 26/10000, Total Frames: 337, Tiles Visited: 3, Total Rewards: -133.7000000000008, Epsilon: 0.79, Policy: RISK
Episode: 27/10000, Total Frames: 291, Tiles Visited: 12, Total Rewards: -115.40000000000057, Epsilon: 0.78, Policy: SAFE
Episode: 28/10000, Total Frames: 392, Tiles Visited: 3, Total Rewards: -155.8000000000011, Epsilon: 0.78, Policy: RISK
Episode: 29/10000, Total Frames: 495, Tiles Visited: 12, Total Rewards: -197.0000000000017, Epsilon: 0.77, Policy: SAFE
Episode: 30/10000, Total Frames: 263, Tiles Visited: 3, Total Rewards: -104.4000000000004, Epsilon: 0.76, Policy: RISK
Episode: 31/10000, Total Frames: 346, Tiles Visited: 12, Total Rewards: -137.40000000000086, Epsilon: 0.76, Policy: SAFE
Episode: 32/10000, Total Frames: 241, Tiles Visited: 3, Total Rewards: -95.40000000000029, Epsilon: 0.75, Policy: RISK
Episode: 33/10000, Total Frames: 234, Tiles Visited: 12, Total Rewards: -92.90000000000025, Epsilon: 0.75, Policy: SAFE
Episode: 34/10000, Total Frames: 339, Tiles Visited: 3, Total Rewards: -134.50000000000082, Epsilon: 0.74, Policy: RISK
Episode: 35/10000, Total Frames: 267, Tiles Visited: 12, Total Rewards: -106.00000000000044, Epsilon: 0.74, Policy: SAFE
Episode: 36/10000, Total Frames: 147, Tiles Visited: 3, Total Rewards: -57.599999999999866, Epsilon: 0.73, Policy: RISK
Episode: 37/10000, Total Frames: 266, Tiles Visited: 12, Total Rewards: -105.60000000000042, Epsilon: 0.73, Policy: SAFE
Episode: 38/10000, Total Frames: 250, Tiles Visited: 3, Total Rewards: -99.00000000000034, Epsilon: 0.72, Policy: RISK
Episode: 39/10000, Total Frames: 314, Tiles Visited: 12, Total Rewards: -124.9000000000007, Epsilon: 0.72, Policy: SAFE
Episode: 40/10000, Total Frames: 235, Tiles Visited: 3, Total Rewards: -92.90000000000025, Epsilon: 0.71, Policy: RISK
Episode: 41/10000, Total Frames: 232, Tiles Visited: 12, Total Rewards: -91.60000000000024, Epsilon: 0.71, Policy: SAFE
Episode: 42/10000, Total Frames: 244, Tiles Visited: 3, Total Rewards: -96.30000000000028, Epsilon: 0.71, Policy: RISK
Episode: 43/10000, Total Frames: 384, Tiles Visited: 12, Total Rewards: -152.60000000000105, Epsilon: 0.7, Policy: SAFE
Episode: 44/10000, Total Frames: 156, Tiles Visited: 3, Total Rewards: -61.49999999999985, Epsilon: 0.7, Policy: RISK
Episode: 45/10000, Total Frames: 323, Tiles Visited: 12, Total Rewards: -128.30000000000072, Epsilon: 0.69, Policy: SAFE
Episode: 46/10000, Total Frames: 183, Tiles Visited: 3, Total Rewards: -72.29999999999995, Epsilon: 0.69, Policy: RISK
Episode: 47/10000, Total Frames: 348, Tiles Visited: 12, Total Rewards: -138.50000000000085, Epsilon: 0.68, Policy: SAFE
Episode: 48/10000, Total Frames: 274, Tiles Visited: 3, Total Rewards: -108.30000000000045, Epsilon: 0.68, Policy: RISK
Episode: 49/10000, Total Frames: 185, Tiles Visited: 12, Total Rewards: -73.09999999999998, Epsilon: 0.67, Policy: SAFE
Episode: 50/10000, Total Frames: 188, Tiles Visited: 3, Total Rewards: -74.09999999999998, Epsilon: 0.67, Policy: RISK
Episode: 51/10000, Total Frames: 367, Tiles Visited: 12, Total Rewards: -146.10000000000096, Epsilon: 0.66, Policy: SAFE
Episode: 52/10000, Total Frames: 438, Tiles Visited: 3, Total Rewards: -173.90000000000134, Epsilon: 0.66, Policy: RISK
Episode: 53/10000, Total Frames: 317, Tiles Visited: 12, Total Rewards: -125.90000000000072, Epsilon: 0.65, Policy: SAFE
Episode: 54/10000, Total Frames: 305, Tiles Visited: 3, Total Rewards: -121.10000000000065, Epsilon: 0.65, Policy: RISK
Episode: 55/10000, Total Frames: 247, Tiles Visited: 12, Total Rewards: -98.00000000000031, Epsilon: 0.64, Policy: SAFE
Episode: 56/10000, Total Frames: 225, Tiles Visited: 3, Total Rewards: -89.1000000000002, Epsilon: 0.64, Policy: RISK
Episode: 57/10000, Total Frames: 284, Tiles Visited: 3, Total Rewards: -112.60000000000052, Epsilon: 0.64, Policy: AGENT
Episode: 58/10000, Total Frames: 297, Tiles Visited: 3, Total Rewards: -118.00000000000058, Epsilon: 0.63, Policy: RISK
Episode: 59/10000, Total Frames: 315, Tiles Visited: 12, Total Rewards: -125.3000000000007, Epsilon: 0.63, Policy: SAFE
Episode: 60/10000, Total Frames: 455, Tiles Visited: 3, Total Rewards: -181.20000000000147, Epsilon: 0.62, Policy: RISK
Episode: 61/10000, Total Frames: 381, Tiles Visited: 12, Total Rewards: -151.50000000000105, Epsilon: 0.61, Policy: SAFE
Episode: 62/10000, Total Frames: 229, Tiles Visited: 3, Total Rewards: -90.4000000000002, Epsilon: 0.61, Policy: RISK
Episode: 63/10000, Total Frames: 168, Tiles Visited: 12, Total Rewards: -65.99999999999987, Epsilon: 0.61, Policy: SAFE
Episode: 64/10000, Total Frames: 520, Tiles Visited: 3, Total Rewards: -206.3000000000018, Epsilon: 0.6, Policy: RISK
Episode: 65/10000, Total Frames: 286, Tiles Visited: 12, Total Rewards: -113.60000000000055, Epsilon: 0.59, Policy: SAFE
Episode: 66/10000, Total Frames: 239, Tiles Visited: 3, Total Rewards: -94.30000000000025, Epsilon: 0.59, Policy: RISK
Episode: 67/10000, Total Frames: 56, Tiles Visited: 4, Total Rewards: -21.69999999999999, Epsilon: 0.59, Policy: AGENT
Episode: 68/10000, Total Frames: 306, Tiles Visited: 3, Total Rewards: -120.90000000000063, Epsilon: 0.59, Policy: RISK
Episode: 69/10000, Total Frames: 232, Tiles Visited: 12, Total Rewards: -92.00000000000024, Epsilon: 0.58, Policy: SAFE
Episode: 70/10000, Total Frames: 203, Tiles Visited: 3, Total Rewards: -80.20000000000007, Epsilon: 0.58, Policy: RISK
Episode: 71/10000, Total Frames: 212, Tiles Visited: 12, Total Rewards: -83.90000000000013, Epsilon: 0.58, Policy: SAFE
Episode: 72/10000, Total Frames: 142, Tiles Visited: 3, Total Rewards: -55.99999999999987, Epsilon: 0.57, Policy: RISK
Episode: 73/10000, Total Frames: 200, Tiles Visited: 12, Total Rewards: -79.10000000000005, Epsilon: 0.57, Policy: SAFE
Episode: 74/10000, Total Frames: 333, Tiles Visited: 3, Total Rewards: -132.00000000000077, Epsilon: 0.57, Policy: RISK
Episode: 75/10000, Total Frames: 236, Tiles Visited: 12, Total Rewards: -93.60000000000026, Epsilon: 0.56, Policy: SAFE
Episode: 76/10000, Total Frames: 164, Tiles Visited: 3, Total Rewards: -64.69999999999985, Epsilon: 0.56, Policy: RISK
Episode: 77/10000, Total Frames: 254, Tiles Visited: 12, Total Rewards: -101.00000000000036, Epsilon: 0.56, Policy: SAFE
Episode: 78/10000, Total Frames: 268, Tiles Visited: 3, Total Rewards: -106.10000000000043, Epsilon: 0.55, Policy: RISK
Episode: 79/10000, Total Frames: 241, Tiles Visited: 12, Total Rewards: -95.70000000000029, Epsilon: 0.55, Policy: SAFE
Episode: 80/10000, Total Frames: 183, Tiles Visited: 3, Total Rewards: -72.29999999999995, Epsilon: 0.55, Policy: RISK
Episode: 81/10000, Total Frames: 219, Tiles Visited: 12, Total Rewards: -86.60000000000015, Epsilon: 0.55, Policy: SAFE
Episode: 82/10000, Total Frames: 159, Tiles Visited: 3, Total Rewards: -62.89999999999984, Epsilon: 0.54, Policy: RISK
Episode: 83/10000, Total Frames: 245, Tiles Visited: 12, Total Rewards: -97.0000000000003, Epsilon: 0.54, Policy: SAFE
Episode: 84/10000, Total Frames: 243, Tiles Visited: 3, Total Rewards: -96.3000000000003, Epsilon: 0.54, Policy: RISK
Episode: 85/10000, Total Frames: 60, Tiles Visited: 4, Total Rewards: -23.39999999999998, Epsilon: 0.54, Policy: AGENT
Episode: 86/10000, Total Frames: 363, Tiles Visited: 3, Total Rewards: -142.6000000000009, Epsilon: 0.53, Policy: RISK
Episode: 87/10000, Total Frames: 173, Tiles Visited: 12, Total Rewards: -68.3999999999999, Epsilon: 0.53, Policy: SAFE
Episode: 88/10000, Total Frames: 148, Tiles Visited: 3, Total Rewards: -58.29999999999986, Epsilon: 0.53, Policy: RISK
Episode: 89/10000, Total Frames: 159, Tiles Visited: 12, Total Rewards: -62.599999999999845, Epsilon: 0.53, Policy: SAFE
Episode: 90/10000, Total Frames: 153, Tiles Visited: 3, Total Rewards: -60.29999999999986, Epsilon: 0.52, Policy: RISK
Episode: 91/10000, Total Frames: 44, Tiles Visited: 3, Total Rewards: -17.100000000000005, Epsilon: 0.52, Policy: AGENT
Episode: 92/10000, Total Frames: 336, Tiles Visited: 3, Total Rewards: -133.30000000000078, Epsilon: 0.52, Policy: RISK
Episode: 93/10000, Total Frames: 180, Tiles Visited: 12, Total Rewards: -70.99999999999994, Epsilon: 0.52, Policy: SAFE
Episode: 94/10000, Total Frames: 314, Tiles Visited: 3, Total Rewards: -123.70000000000067, Epsilon: 0.51, Policy: RISK
Episode: 95/10000, Total Frames: 188, Tiles Visited: 12, Total Rewards: -74.39999999999999, Epsilon: 0.51, Policy: SAFE
Episode: 96/10000, Total Frames: 243, Tiles Visited: 3, Total Rewards: -95.90000000000029, Epsilon: 0.51, Policy: RISK
Episode: 97/10000, Total Frames: 188, Tiles Visited: 12, Total Rewards: -74.39999999999999, Epsilon: 0.5, Policy: SAFE
Episode: 98/10000, Total Frames: 146, Tiles Visited: 3, Total Rewards: -57.499999999999865, Epsilon: 0.5, Policy: RISK
Episode: 99/10000, Total Frames: 128, Tiles Visited: 4, Total Rewards: -50.19999999999989, Epsilon: 0.5, Policy: AGENT
Episode: 100/10000, Total Frames: 138, Tiles Visited: 3, Total Rewards: -54.49999999999988, Epsilon: 0.5, Policy: RISK
Episode: 101/10000, Total Frames: 246, Tiles Visited: 12, Total Rewards: -97.1000000000003, Epsilon: 0.5, Policy: SAFE
Episode: 102/10000, Total Frames: 279, Tiles Visited: 3, Total Rewards: -110.70000000000049, Epsilon: 0.49, Policy: RISK
Episode: 103/10000, Total Frames: 299, Tiles Visited: 12, Total Rewards: -118.60000000000062, Epsilon: 0.49, Policy: SAFE
Episode: 104/10000, Total Frames: 318, Tiles Visited: 3, Total Rewards: -126.20000000000071, Epsilon: 0.49, Policy: RISK
Episode: 105/10000, Total Frames: 124, Tiles Visited: 3, Total Rewards: -48.79999999999989, Epsilon: 0.48, Policy: AGENT
Episode: 106/10000, Total Frames: 72, Tiles Visited: 4, Total Rewards: -28.099999999999966, Epsilon: 0.48, Policy: AGENT
Episode: 107/10000, Total Frames: 157, Tiles Visited: 12, Total Rewards: -62.099999999999845, Epsilon: 0.48, Policy: AGENT
Episode: 108/10000, Total Frames: 196, Tiles Visited: 4, Total Rewards: -77.20000000000003, Epsilon: 0.48, Policy: AGENT
Episode: 109/10000, Total Frames: 63, Tiles Visited: 3, Total Rewards: -24.49999999999998, Epsilon: 0.48, Policy: AGENT
Episode: 110/10000, Total Frames: 98, Tiles Visited: 4, Total Rewards: -38.29999999999993, Epsilon: 0.48, Policy: AGENT
Episode: 111/10000, Total Frames: 331, Tiles Visited: 12, Total Rewards: -131.6000000000008, Epsilon: 0.47, Policy: SAFE
Episode: 112/10000, Total Frames: 447, Tiles Visited: 3, Total Rewards: -177.60000000000142, Epsilon: 0.47, Policy: RISK
Episode: 113/10000, Total Frames: 340, Tiles Visited: 12, Total Rewards: -134.8000000000008, Epsilon: 0.46, Policy: SAFE
Episode: 114/10000, Total Frames: 518, Tiles Visited: 3, Total Rewards: -205.10000000000178, Epsilon: 0.46, Policy: RISK
Episode: 115/10000, Total Frames: 348, Tiles Visited: 12, Total Rewards: -138.40000000000086, Epsilon: 0.45, Policy: SAFE
Episode: 116/10000, Total Frames: 138, Tiles Visited: 1, Total Rewards: -54.39999999999988, Epsilon: 0.45, Policy: AGENT
Episode: 117/10000, Total Frames: 214, Tiles Visited: 12, Total Rewards: -84.40000000000013, Epsilon: 0.45, Policy: SAFE
Episode: 118/10000, Total Frames: 303, Tiles Visited: 3, Total Rewards: -120.10000000000062, Epsilon: 0.45, Policy: RISK
Episode: 119/10000, Total Frames: 265, Tiles Visited: 12, Total Rewards: -104.6000000000004, Epsilon: 0.44, Policy: SAFE
Episode: 120/10000, Total Frames: 315, Tiles Visited: 3, Total Rewards: -124.60000000000068, Epsilon: 0.44, Policy: RISK
Episode: 121/10000, Total Frames: 327, Tiles Visited: 12, Total Rewards: -129.80000000000075, Epsilon: 0.44, Policy: SAFE
Episode: 122/10000, Total Frames: 245, Tiles Visited: 3, Total Rewards: -96.80000000000031, Epsilon: 0.43, Policy: RISK
Episode: 123/10000, Total Frames: 268, Tiles Visited: 12, Total Rewards: -106.20000000000044, Epsilon: 0.43, Policy: SAFE
Episode: 124/10000, Total Frames: 187, Tiles Visited: 3, Total Rewards: -73.49999999999999, Epsilon: 0.43, Policy: RISK
Episode: 125/10000, Total Frames: 54, Tiles Visited: 4, Total Rewards: -20.89999999999999, Epsilon: 0.43, Policy: AGENT
Episode: 126/10000, Total Frames: 365, Tiles Visited: 3, Total Rewards: -145.00000000000097, Epsilon: 0.43, Policy: RISK
Episode: 127/10000, Total Frames: 84, Tiles Visited: 3, Total Rewards: -32.69999999999995, Epsilon: 0.42, Policy: AGENT
Episode: 128/10000, Total Frames: 198, Tiles Visited: 4, Total Rewards: -78.20000000000003, Epsilon: 0.42, Policy: AGENT
Episode: 129/10000, Total Frames: 332, Tiles Visited: 12, Total Rewards: -132.1000000000008, Epsilon: 0.42, Policy: SAFE
Episode: 130/10000, Total Frames: 114, Tiles Visited: 4, Total Rewards: -44.69999999999991, Epsilon: 0.42, Policy: AGENT
Episode: 131/10000, Total Frames: 62, Tiles Visited: 4, Total Rewards: -24.29999999999998, Epsilon: 0.42, Policy: AGENT
Episode: 132/10000, Total Frames: 326, Tiles Visited: 3, Total Rewards: -129.20000000000073, Epsilon: 0.41, Policy: RISK
Episode: 133/10000, Total Frames: 47, Tiles Visited: 4, Total Rewards: -18.2, Epsilon: 0.41, Policy: AGENT
Episode: 134/10000, Total Frames: 133, Tiles Visited: 4, Total Rewards: -52.09999999999988, Epsilon: 0.41, Policy: AGENT
Episode: 135/10000, Total Frames: 41, Tiles Visited: 3, Total Rewards: -15.700000000000008, Epsilon: 0.41, Policy: AGENT
Episode: 136/10000, Total Frames: 68, Tiles Visited: 4, Total Rewards: -26.69999999999997, Epsilon: 0.41, Policy: AGENT
Episode: 137/10000, Total Frames: 246, Tiles Visited: 12, Total Rewards: -97.20000000000032, Epsilon: 0.41, Policy: SAFE
Episode: 138/10000, Total Frames: 114, Tiles Visited: 4, Total Rewards: -44.89999999999991, Epsilon: 0.41, Policy: AGENT
Episode: 139/10000, Total Frames: 239, Tiles Visited: 12, Total Rewards: -94.70000000000027, Epsilon: 0.4, Policy: SAFE
Episode: 140/10000, Total Frames: 181, Tiles Visited: 3, Total Rewards: -71.09999999999994, Epsilon: 0.4, Policy: AGENT
Episode: 141/10000, Total Frames: 79, Tiles Visited: 4, Total Rewards: -30.899999999999956, Epsilon: 0.4, Policy: AGENT
Episode: 142/10000, Total Frames: 100, Tiles Visited: 4, Total Rewards: -39.09999999999993, Epsilon: 0.4, Policy: AGENT
Episode: 143/10000, Total Frames: 69, Tiles Visited: 4, Total Rewards: -26.79999999999997, Epsilon: 0.4, Policy: AGENT
Episode: 144/10000, Total Frames: 185, Tiles Visited: 4, Total Rewards: -72.89999999999996, Epsilon: 0.4, Policy: AGENT
Episode: 145/10000, Total Frames: 234, Tiles Visited: 12, Total Rewards: -92.70000000000024, Epsilon: 0.4, Policy: SAFE
Episode: 146/10000, Total Frames: 130, Tiles Visited: 4, Total Rewards: -51.19999999999988, Epsilon: 0.4, Policy: AGENT
Episode: 147/10000, Total Frames: 61, Tiles Visited: 4, Total Rewards: -23.89999999999998, Epsilon: 0.39, Policy: AGENT
Episode: 148/10000, Total Frames: 215, Tiles Visited: 12, Total Rewards: -85.20000000000013, Epsilon: 0.39, Policy: AGENT
Episode: 149/10000, Total Frames: 45, Tiles Visited: 4, Total Rewards: -17.300000000000004, Epsilon: 0.39, Policy: AGENT
Episode: 150/10000, Total Frames: 233, Tiles Visited: 3, Total Rewards: -92.00000000000023, Epsilon: 0.39, Policy: RISK
Episode: 151/10000, Total Frames: 113, Tiles Visited: 4, Total Rewards: -44.09999999999991, Epsilon: 0.39, Policy: AGENT
Episode: 152/10000, Total Frames: 389, Tiles Visited: 3, Total Rewards: -154.40000000000109, Epsilon: 0.38, Policy: RISK
Episode: 153/10000, Total Frames: 337, Tiles Visited: 12, Total Rewards: -133.9000000000008, Epsilon: 0.38, Policy: SAFE
Episode: 154/10000, Total Frames: 38, Tiles Visited: 3, Total Rewards: -14.400000000000007, Epsilon: 0.38, Policy: AGENT
Episode: 155/10000, Total Frames: 138, Tiles Visited: 4, Total Rewards: -54.59999999999987, Epsilon: 0.38, Policy: AGENT
Episode: 156/10000, Total Frames: 55, Tiles Visited: 4, Total Rewards: -21.29999999999999, Epsilon: 0.38, Policy: AGENT
Episode: 157/10000, Total Frames: 48, Tiles Visited: 4, Total Rewards: -18.4, Epsilon: 0.38, Policy: AGENT
Episode: 158/10000, Total Frames: 55, Tiles Visited: 4, Total Rewards: -21.19999999999999, Epsilon: 0.38, Policy: AGENT
Episode: 159/10000, Total Frames: 72, Tiles Visited: 4, Total Rewards: -27.999999999999964, Epsilon: 0.38, Policy: AGENT
Episode: 160/10000, Total Frames: 272, Tiles Visited: 3, Total Rewards: -107.70000000000044, Epsilon: 0.38, Policy: RISK
Episode: 161/10000, Total Frames: 180, Tiles Visited: 4, Total Rewards: -70.99999999999994, Epsilon: 0.37, Policy: AGENT
Episode: 162/10000, Total Frames: 211, Tiles Visited: 12, Total Rewards: -83.60000000000011, Epsilon: 0.37, Policy: AGENT
Episode: 163/10000, Total Frames: 133, Tiles Visited: 4, Total Rewards: -52.49999999999988, Epsilon: 0.37, Policy: AGENT
Episode: 164/10000, Total Frames: 46, Tiles Visited: 4, Total Rewards: -17.700000000000003, Epsilon: 0.37, Policy: AGENT
Episode: 165/10000, Total Frames: 145, Tiles Visited: 8, Total Rewards: -57.29999999999987, Epsilon: 0.37, Policy: AGENT
Episode: 166/10000, Total Frames: 117, Tiles Visited: 3, Total Rewards: -45.9999999999999, Epsilon: 0.37, Policy: AGENT
Episode: 167/10000, Total Frames: 120, Tiles Visited: 7, Total Rewards: -47.2999999999999, Epsilon: 0.37, Policy: AGENT
Episode: 168/10000, Total Frames: 76, Tiles Visited: 4, Total Rewards: -29.799999999999958, Epsilon: 0.37, Policy: AGENT
Episode: 169/10000, Total Frames: 287, Tiles Visited: 12, Total Rewards: -113.50000000000054, Epsilon: 0.36, Policy: SAFE
Episode: 170/10000, Total Frames: 126, Tiles Visited: 8, Total Rewards: -49.59999999999989, Epsilon: 0.36, Policy: AGENT
Episode: 171/10000, Total Frames: 259, Tiles Visited: 12, Total Rewards: -102.30000000000038, Epsilon: 0.36, Policy: SAFE
Episode: 172/10000, Total Frames: 219, Tiles Visited: 4, Total Rewards: -86.40000000000015, Epsilon: 0.36, Policy: AGENT
Episode: 173/10000, Total Frames: 59, Tiles Visited: 4, Total Rewards: -23.099999999999984, Epsilon: 0.36, Policy: AGENT
Episode: 174/10000, Total Frames: 89, Tiles Visited: 4, Total Rewards: -34.89999999999994, Epsilon: 0.36, Policy: AGENT
Episode: 175/10000, Total Frames: 55, Tiles Visited: 4, Total Rewards: -21.399999999999988, Epsilon: 0.36, Policy: AGENT
Episode: 176/10000, Total Frames: 226, Tiles Visited: 3, Total Rewards: -89.20000000000019, Epsilon: 0.35, Policy: RISK
Episode: 177/10000, Total Frames: 124, Tiles Visited: 4, Total Rewards: -48.49999999999989, Epsilon: 0.35, Policy: AGENT
Episode: 178/10000, Total Frames: 202, Tiles Visited: 3, Total Rewards: -79.90000000000006, Epsilon: 0.35, Policy: RISK
Episode: 179/10000, Total Frames: 103, Tiles Visited: 4, Total Rewards: -40.299999999999926, Epsilon: 0.35, Policy: AGENT
Episode: 180/10000, Total Frames: 57, Tiles Visited: 4, Total Rewards: -21.999999999999986, Epsilon: 0.35, Policy: AGENT
Episode: 181/10000, Total Frames: 122, Tiles Visited: 3, Total Rewards: -48.099999999999895, Epsilon: 0.35, Policy: AGENT
Episode: 182/10000, Total Frames: 286, Tiles Visited: 3, Total Rewards: -112.80000000000052, Epsilon: 0.35, Policy: RISK
Episode: 183/10000, Total Frames: 98, Tiles Visited: 4, Total Rewards: -38.29999999999993, Epsilon: 0.35, Policy: AGENT
Episode: 184/10000, Total Frames: 100, Tiles Visited: 3, Total Rewards: -39.49999999999992, Epsilon: 0.35, Policy: AGENT
Episode: 185/10000, Total Frames: 157, Tiles Visited: 3, Total Rewards: -61.89999999999985, Epsilon: 0.34, Policy: AGENT
Episode: 186/10000, Total Frames: 555, Tiles Visited: 3, Total Rewards: -220.30000000000203, Epsilon: 0.34, Policy: RISK
Episode: 187/10000, Total Frames: 251, Tiles Visited: 12, Total Rewards: -99.30000000000034, Epsilon: 0.34, Policy: SAFE
Episode: 188/10000, Total Frames: 39, Tiles Visited: 3, Total Rewards: -14.900000000000007, Epsilon: 0.34, Policy: AGENT
Episode: 189/10000, Total Frames: 83, Tiles Visited: 3, Total Rewards: -32.399999999999956, Epsilon: 0.34, Policy: AGENT
Episode: 190/10000, Total Frames: 245, Tiles Visited: 3, Total Rewards: -96.40000000000029, Epsilon: 0.33, Policy: RISK
Episode: 191/10000, Total Frames: 155, Tiles Visited: 3, Total Rewards: -60.59999999999985, Epsilon: 0.33, Policy: AGENT
Episode: 192/10000, Total Frames: 253, Tiles Visited: 5, Total Rewards: -100.50000000000034, Epsilon: 0.33, Policy: AGENT
Episode: 193/10000, Total Frames: 251, Tiles Visited: 12, Total Rewards: -99.40000000000035, Epsilon: 0.33, Policy: SAFE
Episode: 194/10000, Total Frames: 112, Tiles Visited: 5, Total Rewards: -44.09999999999991, Epsilon: 0.33, Policy: AGENT
Episode: 195/10000, Total Frames: 52, Tiles Visited: 4, Total Rewards: -20.199999999999992, Epsilon: 0.33, Policy: AGENT
Episode: 196/10000, Total Frames: 420, Tiles Visited: 3, Total Rewards: -166.80000000000126, Epsilon: 0.32, Policy: RISK
Episode: 197/10000, Total Frames: 106, Tiles Visited: 8, Total Rewards: -41.599999999999916, Epsilon: 0.32, Policy: AGENT
Episode: 198/10000, Total Frames: 494, Tiles Visited: 4, Total Rewards: -196.6000000000017, Epsilon: 0.32, Policy: AGENT
Episode: 199/10000, Total Frames: 104, Tiles Visited: 5, Total Rewards: -40.89999999999993, Epsilon: 0.32, Policy: AGENT
Episode: 200/10000, Total Frames: 64, Tiles Visited: 4, Total Rewards: -24.799999999999976, Epsilon: 0.32, Policy: AGENT
Episode: 201/10000, Total Frames: 336, Tiles Visited: 4, Total Rewards: -133.40000000000083, Epsilon: 0.32, Policy: AGENT
Episode: 202/10000, Total Frames: 223, Tiles Visited: 4, Total Rewards: -88.40000000000019, Epsilon: 0.31, Policy: AGENT
Episode: 203/10000, Total Frames: 140, Tiles Visited: 4, Total Rewards: -55.39999999999987, Epsilon: 0.31, Policy: AGENT
Episode: 204/10000, Total Frames: 188, Tiles Visited: 3, Total Rewards: -74.09999999999998, Epsilon: 0.31, Policy: AGENT
Episode: 205/10000, Total Frames: 296, Tiles Visited: 3, Total Rewards: -117.20000000000059, Epsilon: 0.31, Policy: AGENT
Episode: 206/10000, Total Frames: 102, Tiles Visited: 4, Total Rewards: -40.29999999999992, Epsilon: 0.31, Policy: AGENT
Episode: 207/10000, Total Frames: 102, Tiles Visited: 3, Total Rewards: -40.199999999999925, Epsilon: 0.31, Policy: AGENT
Episode: 208/10000, Total Frames: 45, Tiles Visited: 3, Total Rewards: -17.300000000000004, Epsilon: 0.31, Policy: AGENT
Episode: 209/10000, Total Frames: 313, Tiles Visited: 12, Total Rewards: -124.40000000000069, Epsilon: 0.3, Policy: SAFE
Episode: 210/10000, Total Frames: 217, Tiles Visited: 3, Total Rewards: -85.30000000000014, Epsilon: 0.3, Policy: RISK
Episode: 211/10000, Total Frames: 44, Tiles Visited: 3, Total Rewards: -16.900000000000006, Epsilon: 0.3, Policy: AGENT
Episode: 212/10000, Total Frames: 200, Tiles Visited: 4, Total Rewards: -78.90000000000006, Epsilon: 0.3, Policy: AGENT
